model_name,metric,condition,n,estimate,ci_95_low,ci_95_high
Qwen/Qwen2.5-VL-3B-Instruct,evidence_dependence_gap,no_image,120,0.3833333333333333,0.2833333333333333,0.48333333333333334
Qwen/Qwen2.5-VL-3B-Instruct,original_gold_match,blank_image,120,0.10833333333333334,0.058333333333333334,0.16666666666666666
Qwen/Qwen2.5-VL-3B-Instruct,evidence_dependence_gap,blank_image,120,0.3833333333333333,0.2833333333333333,0.4833333333333334
Qwen/Qwen2.5-VL-3B-Instruct,original_gold_match,far_mismatch,120,0.13333333333333333,0.075,0.2
Qwen/Qwen2.5-VL-3B-Instruct,evidence_dependence_gap,far_mismatch,120,0.3583333333333333,0.2583333333333333,0.45833333333333337
Qwen/Qwen2.5-VL-3B-Instruct,original_gold_match,hard_mismatch,120,0.13333333333333333,0.075,0.2
Qwen/Qwen2.5-VL-3B-Instruct,evidence_dependence_gap,hard_mismatch,120,0.3583333333333333,0.2583333333333333,0.45833333333333337
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_response,no_image,120,0.38333333333333336,0.3,0.475
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_response,blank_image,120,0.38333333333333336,0.3,0.4666666666666667
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_response,far_mismatch,120,0.23333333333333334,0.15833333333333333,0.30833333333333335
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_response,hard_mismatch,120,0.14166666666666666,0.08333333333333333,0.20833333333333334
Qwen/Qwen2.5-VL-3B-Instruct,blank_blindness,blank_image,120,0.49166666666666664,0.4,0.5833333333333334
Qwen/Qwen2.5-VL-3B-Instruct,far_mismatch_blindness,far_mismatch,120,0.6583333333333333,0.575,0.7416666666666667
Qwen/Qwen2.5-VL-3B-Instruct,hard_mismatch_blindness,hard_mismatch,120,0.75,0.6666666666666666,0.825
Qwen/Qwen2.5-VL-3B-Instruct,answer_invariance,no_image,120,0.24166666666666667,0.16666666666666666,0.31666666666666665
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_condition_sensitivity,no_image,120,0.36666666666666664,0.2833333333333333,0.4583333333333333
Qwen/Qwen2.5-VL-3B-Instruct,answer_invariance,blank_image,120,0.225,0.15,0.3
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_condition_sensitivity,blank_image,120,0.36666666666666664,0.2833333333333333,0.45
Qwen/Qwen2.5-VL-3B-Instruct,answer_invariance,far_mismatch,120,0.23333333333333334,0.15833333333333333,0.30833333333333335
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_condition_sensitivity,far_mismatch,120,0.20833333333333334,0.14166666666666666,0.2833333333333333
Qwen/Qwen2.5-VL-3B-Instruct,answer_invariance,hard_mismatch,120,0.275,0.2,0.35833333333333334
Qwen/Qwen2.5-VL-3B-Instruct,appropriate_condition_sensitivity,hard_mismatch,120,0.11666666666666667,0.06666666666666667,0.175
Qwen/Qwen2.5-VL-7B-Instruct,correct_image_accuracy,correct_image,120,0.44166666666666665,0.35,0.5333333333333333
Qwen/Qwen2.5-VL-7B-Instruct,confident_valid_image_error_rate,correct_image,120,0.2833333333333333,0.20833333333333334,0.36666666666666664
Qwen/Qwen2.5-VL-7B-Instruct,original_gold_match,no_image,120,0.075,0.03333333333333333,0.125
Qwen/Qwen2.5-VL-7B-Instruct,evidence_dependence_gap,no_image,120,0.36666666666666664,0.27499999999999997,0.45833333333333337
Qwen/Qwen2.5-VL-7B-Instruct,original_gold_match,blank_image,120,0.175,0.10833333333333334,0.25
Qwen/Qwen2.5-VL-7B-Instruct,evidence_dependence_gap,blank_image,120,0.26666666666666666,0.15833333333333333,0.375
Qwen/Qwen2.5-VL-7B-Instruct,original_gold_match,far_mismatch,120,0.075,0.03333333333333333,0.125
Qwen/Qwen2.5-VL-7B-Instruct,evidence_dependence_gap,far_mismatch,120,0.36666666666666664,0.2666666666666667,0.4666666666666666
Qwen/Qwen2.5-VL-7B-Instruct,original_gold_match,hard_mismatch,120,0.125,0.06666666666666667,0.18333333333333332
Qwen/Qwen2.5-VL-7B-Instruct,evidence_dependence_gap,hard_mismatch,120,0.31666666666666665,0.22499999999999998,0.4083333333333333
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_response,no_image,120,0.48333333333333334,0.39166666666666666,0.5666666666666667
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_response,blank_image,120,0.31666666666666665,0.23333333333333334,0.4
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_response,far_mismatch,120,0.55,0.4583333333333333,0.6416666666666667
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_response,hard_mismatch,120,0.3333333333333333,0.25,0.4166666666666667
Qwen/Qwen2.5-VL-7B-Instruct,blank_blindness,blank_image,120,0.44166666666666665,0.35,0.5333333333333333
Qwen/Qwen2.5-VL-7B-Instruct,far_mismatch_blindness,far_mismatch,120,0.19166666666666668,0.125,0.26666666666666666
Qwen/Qwen2.5-VL-7B-Instruct,hard_mismatch_blindness,hard_mismatch,120,0.3333333333333333,0.25,0.4166666666666667
Qwen/Qwen2.5-VL-7B-Instruct,answer_invariance,no_image,120,0.15833333333333333,0.1,0.225
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_condition_sensitivity,no_image,120,0.31666666666666665,0.23333333333333334,0.4
Qwen/Qwen2.5-VL-7B-Instruct,answer_invariance,blank_image,120,0.21666666666666667,0.14166666666666666,0.2916666666666667
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_condition_sensitivity,blank_image,120,0.19166666666666668,0.125,0.25833333333333336
Qwen/Qwen2.5-VL-7B-Instruct,answer_invariance,far_mismatch,120,0.08333333333333333,0.041666666666666664,0.13333333333333333
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_condition_sensitivity,far_mismatch,120,0.4083333333333333,0.325,0.5
Qwen/Qwen2.5-VL-7B-Instruct,answer_invariance,hard_mismatch,120,0.19166666666666668,0.125,0.26666666666666666
Qwen/Qwen2.5-VL-7B-Instruct,appropriate_condition_sensitivity,hard_mismatch,120,0.23333333333333334,0.15833333333333333,0.30833333333333335
