case_id,condition,question,gold_answer,parsed_answer,model_correct,evidence_supported,answer_supported,human_review,review_notes
267,no_image,Is the child in the picture facing forward or in profile?,(a),a,True,,,not_yet_reviewed,
267,blank_image,Is the child in the picture facing forward or in profile?,(a),a,True,,,not_yet_reviewed,
267,far_mismatch,Is the child in the picture facing forward or in profile?,(a),b,False,,,not_yet_reviewed,
267,hard_mismatch,Is the child in the picture facing forward or in profile?,(a),a,True,,,not_yet_reviewed,
6,correct_image,Is the dog facing left or right from the camera's perspective?,(b),b,True,,,not_yet_reviewed,
6,no_image,Is the dog facing left or right from the camera's perspective?,(b),a,False,,,not_yet_reviewed,
6,blank_image,Is the dog facing left or right from the camera's perspective?,(b),a,False,,,not_yet_reviewed,
6,far_mismatch,Is the dog facing left or right from the camera's perspective?,(b),b,True,,,not_yet_reviewed,
6,hard_mismatch,Is the dog facing left or right from the camera's perspective?,(b),b,True,,,not_yet_reviewed,
11,correct_image,Has the peacock opened its tail?,(a),a,True,,,not_yet_reviewed,
11,no_image,Has the peacock opened its tail?,(a),b,False,,,not_yet_reviewed,
11,blank_image,Has the peacock opened its tail?,(a),b,False,,,not_yet_reviewed,
11,far_mismatch,Has the peacock opened its tail?,(a),b,False,,,not_yet_reviewed,
11,hard_mismatch,Has the peacock opened its tail?,(a),a,True,,,not_yet_reviewed,
18,correct_image,Is the front of the school bus protruding?,(b),a,False,,,not_yet_reviewed,
18,no_image,Is the front of the school bus protruding?,(b),b,True,,,not_yet_reviewed,
18,blank_image,Is the front of the school bus protruding?,(b),b,True,,,not_yet_reviewed,
18,far_mismatch,Is the front of the school bus protruding?,(b),b,True,,,not_yet_reviewed,
18,hard_mismatch,Is the front of the school bus protruding?,(b),b,True,,,not_yet_reviewed,
97,correct_image,Does the keyboard have a backlight?,(a),a,True,,,not_yet_reviewed,
97,no_image,Does the keyboard have a backlight?,(a),b,False,,,not_yet_reviewed,
97,blank_image,Does the keyboard have a backlight?,(a),b,False,,,not_yet_reviewed,
97,far_mismatch,Does the keyboard have a backlight?,(a),b,False,,,not_yet_reviewed,
97,hard_mismatch,Does the keyboard have a backlight?,(a),a,True,,,not_yet_reviewed,
36,correct_image,Do the vegetables have spikes?,(b),a,False,,,not_yet_reviewed,
36,no_image,Do the vegetables have spikes?,(b),b,True,,,not_yet_reviewed,
36,blank_image,Do the vegetables have spikes?,(b),b,True,,,not_yet_reviewed,
36,far_mismatch,Do the vegetables have spikes?,(b),b,True,,,not_yet_reviewed,
36,hard_mismatch,Do the vegetables have spikes?,(b),b,True,,,not_yet_reviewed,
66,correct_image,Is the following statement correct: There is no letter D on this image.,(b),b,True,,,not_yet_reviewed,
66,no_image,Is the following statement correct: There is no letter D on this image.,(b),a,False,,,not_yet_reviewed,
66,blank_image,Is the following statement correct: There is no letter D on this image.,(b),b,True,,,not_yet_reviewed,
66,far_mismatch,Is the following statement correct: There is no letter D on this image.,(b),b,True,,,not_yet_reviewed,
66,hard_mismatch,Is the following statement correct: There is no letter D on this image.,(b),b,True,,,not_yet_reviewed,
70,correct_image,Did the snake stick out its tongue and touch its skin?,(b),b,True,,,not_yet_reviewed,
70,no_image,Did the snake stick out its tongue and touch its skin?,(b),a,False,,,not_yet_reviewed,
70,blank_image,Did the snake stick out its tongue and touch its skin?,(b),b,True,,,not_yet_reviewed,
70,far_mismatch,Did the snake stick out its tongue and touch its skin?,(b),b,True,,,not_yet_reviewed,
70,hard_mismatch,Did the snake stick out its tongue and touch its skin?,(b),b,True,,,not_yet_reviewed,
79,correct_image,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a),a,True,,,not_yet_reviewed,
79,no_image,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a),a,True,,,not_yet_reviewed,
79,blank_image,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a),a,True,,,not_yet_reviewed,
79,far_mismatch,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a),b,False,,,not_yet_reviewed,
79,hard_mismatch,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a),?,False,,,not_yet_reviewed,
87,correct_image,Is there a hand using the mouse in the image?,(a),a,True,,,not_yet_reviewed,
87,no_image,Is there a hand using the mouse in the image?,(a),a,True,,,not_yet_reviewed,
87,blank_image,Is there a hand using the mouse in the image?,(a),b,False,,,not_yet_reviewed,
87,far_mismatch,Is there a hand using the mouse in the image?,(a),b,False,,,not_yet_reviewed,
87,hard_mismatch,Is there a hand using the mouse in the image?,(a),b,False,,,not_yet_reviewed,
155,correct_image,Is the vase beside the bedside table or on the windowsill?,(a),b,False,,,not_yet_reviewed,
155,no_image,Is the vase beside the bedside table or on the windowsill?,(a),a,True,,,not_yet_reviewed,
155,blank_image,Is the vase beside the bedside table or on the windowsill?,(a),?,False,,,not_yet_reviewed,
155,far_mismatch,Is the vase beside the bedside table or on the windowsill?,(a),b,False,,,not_yet_reviewed,
155,hard_mismatch,Is the vase beside the bedside table or on the windowsill?,(a),b,False,,,not_yet_reviewed,
114,correct_image,Do you see any window in this image?,(b),a,False,,,not_yet_reviewed,
114,no_image,Do you see any window in this image?,(b),b,True,,,not_yet_reviewed,
114,blank_image,Do you see any window in this image?,(b),b,True,,,not_yet_reviewed,
114,far_mismatch,Do you see any window in this image?,(b),b,True,,,not_yet_reviewed,
114,hard_mismatch,Do you see any window in this image?,(b),b,True,,,not_yet_reviewed,
120,correct_image,"In this image, how many eyes can you see on the animal?",(b),b,True,,,not_yet_reviewed,
120,no_image,"In this image, how many eyes can you see on the animal?",(b),a,False,,,not_yet_reviewed,
120,blank_image,"In this image, how many eyes can you see on the animal?",(b),?,False,,,not_yet_reviewed,
120,far_mismatch,"In this image, how many eyes can you see on the animal?",(b),?,False,,,not_yet_reviewed,
120,hard_mismatch,"In this image, how many eyes can you see on the animal?",(b),b,True,,,not_yet_reviewed,
132,correct_image,Where is the yellow animal's head lying in this image?,(b),b,True,,,not_yet_reviewed,
132,no_image,Where is the yellow animal's head lying in this image?,(b),?,False,,,not_yet_reviewed,
132,blank_image,Where is the yellow animal's head lying in this image?,(b),?,False,,,not_yet_reviewed,
132,far_mismatch,Where is the yellow animal's head lying in this image?,(b),?,False,,,not_yet_reviewed,
132,hard_mismatch,Where is the yellow animal's head lying in this image?,(b),b,True,,,not_yet_reviewed,
145,correct_image,Is the photo taken looking down from above or looking up from below?,(a),a,True,,,not_yet_reviewed,
145,no_image,Is the photo taken looking down from above or looking up from below?,(a),a,True,,,not_yet_reviewed,
145,blank_image,Is the photo taken looking down from above or looking up from below?,(a),a,True,,,not_yet_reviewed,
145,far_mismatch,Is the photo taken looking down from above or looking up from below?,(a),a,True,,,not_yet_reviewed,
145,hard_mismatch,Is the photo taken looking down from above or looking up from below?,(a),a,True,,,not_yet_reviewed,
151,correct_image,The image captures a woman running from:,(a),?,False,,,not_yet_reviewed,
151,no_image,The image captures a woman running from:,(a),?,False,,,not_yet_reviewed,
151,blank_image,The image captures a woman running from:,(a),?,False,,,not_yet_reviewed,
151,far_mismatch,The image captures a woman running from:,(a),?,False,,,not_yet_reviewed,
151,hard_mismatch,The image captures a woman running from:,(a),?,False,,,not_yet_reviewed,
158,correct_image,Is the frame at the front of the motorcycle primarily silver or black in color?,(b),a,False,,,not_yet_reviewed,
158,no_image,Is the frame at the front of the motorcycle primarily silver or black in color?,(b),a,False,,,not_yet_reviewed,
158,blank_image,Is the frame at the front of the motorcycle primarily silver or black in color?,(b),a,False,,,not_yet_reviewed,
158,far_mismatch,Is the frame at the front of the motorcycle primarily silver or black in color?,(b),a,False,,,not_yet_reviewed,
158,hard_mismatch,Is the frame at the front of the motorcycle primarily silver or black in color?,(b),a,False,,,not_yet_reviewed,
167,correct_image,Are some fruits cut open or are all the fruits uncut?,(a),b,False,,,not_yet_reviewed,
167,no_image,Are some fruits cut open or are all the fruits uncut?,(a),a,True,,,not_yet_reviewed,
167,blank_image,Are some fruits cut open or are all the fruits uncut?,(a),a,True,,,not_yet_reviewed,
167,far_mismatch,Are some fruits cut open or are all the fruits uncut?,(a),?,False,,,not_yet_reviewed,
167,hard_mismatch,Are some fruits cut open or are all the fruits uncut?,(a),b,False,,,not_yet_reviewed,
186,correct_image,Is the person in the picture already standing on the weighing scale?,(b),b,True,,,not_yet_reviewed,
186,no_image,Is the person in the picture already standing on the weighing scale?,(b),b,True,,,not_yet_reviewed,
186,blank_image,Is the person in the picture already standing on the weighing scale?,(b),b,True,,,not_yet_reviewed,
186,far_mismatch,Is the person in the picture already standing on the weighing scale?,(b),b,True,,,not_yet_reviewed,
186,hard_mismatch,Is the person in the picture already standing on the weighing scale?,(b),b,True,,,not_yet_reviewed,
193,correct_image,Are these vegetables placed on the floor or on the soil?,(a),b,False,,,not_yet_reviewed,
193,no_image,Are these vegetables placed on the floor or on the soil?,(a),a,True,,,not_yet_reviewed,
193,blank_image,Are these vegetables placed on the floor or on the soil?,(a),b,False,,,not_yet_reviewed,
193,far_mismatch,Are these vegetables placed on the floor or on the soil?,(a),a,True,,,not_yet_reviewed,
193,hard_mismatch,Are these vegetables placed on the floor or on the soil?,(a),b,False,,,not_yet_reviewed,
198,correct_image,Is the person weighing themselves barefoot?,(b),b,True,,,not_yet_reviewed,
198,no_image,Is the person weighing themselves barefoot?,(b),b,True,,,not_yet_reviewed,
198,blank_image,Is the person weighing themselves barefoot?,(b),b,True,,,not_yet_reviewed,
198,far_mismatch,Is the person weighing themselves barefoot?,(b),b,True,,,not_yet_reviewed,
198,hard_mismatch,Is the person weighing themselves barefoot?,(b),b,True,,,not_yet_reviewed,
205,correct_image,Is the coffee cup made of glass?,(a),b,False,,,not_yet_reviewed,
205,no_image,Is the coffee cup made of glass?,(a),b,False,,,not_yet_reviewed,
205,blank_image,Is the coffee cup made of glass?,(a),b,False,,,not_yet_reviewed,
205,far_mismatch,Is the coffee cup made of glass?,(a),b,False,,,not_yet_reviewed,
205,hard_mismatch,Is the coffee cup made of glass?,(a),b,False,,,not_yet_reviewed,
212,correct_image,Is the heart-shaped object resting on the palm or being held by the fingers?,(b),a,False,,,not_yet_reviewed,
212,no_image,Is the heart-shaped object resting on the palm or being held by the fingers?,(b),a,False,,,not_yet_reviewed,
212,blank_image,Is the heart-shaped object resting on the palm or being held by the fingers?,(b),a,False,,,not_yet_reviewed,
212,far_mismatch,Is the heart-shaped object resting on the palm or being held by the fingers?,(b),a,False,,,not_yet_reviewed,
212,hard_mismatch,Is the heart-shaped object resting on the palm or being held by the fingers?,(b),a,False,,,not_yet_reviewed,
225,correct_image,Are all the cups and bottles in the picture the same height?,(a),b,False,,,not_yet_reviewed,
225,no_image,Are all the cups and bottles in the picture the same height?,(a),?,False,,,not_yet_reviewed,
225,blank_image,Are all the cups and bottles in the picture the same height?,(a),b,False,,,not_yet_reviewed,
225,far_mismatch,Are all the cups and bottles in the picture the same height?,(a),b,False,,,not_yet_reviewed,
225,hard_mismatch,Are all the cups and bottles in the picture the same height?,(a),b,False,,,not_yet_reviewed,
263,correct_image,Is it a slice of cake or a whole cake in the picture?,(a),?,False,,,not_yet_reviewed,
263,no_image,Is it a slice of cake or a whole cake in the picture?,(a),a,True,,,not_yet_reviewed,
263,blank_image,Is it a slice of cake or a whole cake in the picture?,(a),b,False,,,not_yet_reviewed,
263,far_mismatch,Is it a slice of cake or a whole cake in the picture?,(a),a,True,,,not_yet_reviewed,
263,hard_mismatch,Is it a slice of cake or a whole cake in the picture?,(a),b,False,,,not_yet_reviewed,
271,correct_image,Is the male in the picture wearing a shirt or a T-shirt?,(a),a,True,,,not_yet_reviewed,
271,no_image,Is the male in the picture wearing a shirt or a T-shirt?,(a),a,True,,,not_yet_reviewed,
271,blank_image,Is the male in the picture wearing a shirt or a T-shirt?,(a),?,False,,,not_yet_reviewed,
271,far_mismatch,Is the male in the picture wearing a shirt or a T-shirt?,(a),a,True,,,not_yet_reviewed,
271,hard_mismatch,Is the male in the picture wearing a shirt or a T-shirt?,(a),a,True,,,not_yet_reviewed,
276,correct_image,How many trees are the treehouse built on?,(b),b,True,,,not_yet_reviewed,
276,no_image,How many trees are the treehouse built on?,(b),a,False,,,not_yet_reviewed,
276,blank_image,How many trees are the treehouse built on?,(b),?,False,,,not_yet_reviewed,
276,far_mismatch,How many trees are the treehouse built on?,(b),?,False,,,not_yet_reviewed,
276,hard_mismatch,How many trees are the treehouse built on?,(b),?,False,,,not_yet_reviewed,
284,correct_image,"In the image, is it a salmon fillet or a salmon steak?",(b),a,False,,,not_yet_reviewed,
284,no_image,"In the image, is it a salmon fillet or a salmon steak?",(b),a,False,,,not_yet_reviewed,
284,blank_image,"In the image, is it a salmon fillet or a salmon steak?",(b),a,False,,,not_yet_reviewed,
284,far_mismatch,"In the image, is it a salmon fillet or a salmon steak?",(b),a,False,,,not_yet_reviewed,
284,hard_mismatch,"In the image, is it a salmon fillet or a salmon steak?",(b),a,False,,,not_yet_reviewed,
292,correct_image,Is the minion in the image smiling with its tongue out?,(b),b,True,,,not_yet_reviewed,
292,no_image,Is the minion in the image smiling with its tongue out?,(b),b,True,,,not_yet_reviewed,
292,blank_image,Is the minion in the image smiling with its tongue out?,(b),b,True,,,not_yet_reviewed,
292,far_mismatch,Is the minion in the image smiling with its tongue out?,(b),b,True,,,not_yet_reviewed,
292,hard_mismatch,Is the minion in the image smiling with its tongue out?,(b),b,True,,,not_yet_reviewed,
150,correct_image,Is the piano's back panel on the left or right side?,(b),a,False,,,not_yet_reviewed,
150,no_image,Is the piano's back panel on the left or right side?,(b),a,False,,,not_yet_reviewed,
150,blank_image,Is the piano's back panel on the left or right side?,(b),a,False,,,not_yet_reviewed,
150,far_mismatch,Is the piano's back panel on the left or right side?,(b),b,True,,,not_yet_reviewed,
150,hard_mismatch,Is the piano's back panel on the left or right side?,(b),a,False,,,not_yet_reviewed,
39,correct_image,Is the duck floating?,(a),a,True,,,not_yet_reviewed,
39,no_image,Is the duck floating?,(a),a,True,,,not_yet_reviewed,
39,blank_image,Is the duck floating?,(a),b,False,,,not_yet_reviewed,
39,far_mismatch,Is the duck floating?,(a),b,False,,,not_yet_reviewed,
39,hard_mismatch,Is the duck floating?,(a),b,False,,,not_yet_reviewed,
