run_id,case_id,bundle_id,source_id,model_name,condition,question,gold_answer,raw_response,response_mode,evidence_issue_acknowledged,evidence_issue_type,specific_visual_claim,answer_correct,annotator,adjudicated,notes
week3_SmolVLM-256M-Instruct_031,mmvp_w3_008_blank_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the ladybug positioned upright or upside down?",(a)," Upside down",confident_answer,no,blank,no,no,Student A,no,
week3_SmolVLM-256M-Instruct_032,mmvp_w3_008_mismatched_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the ladybug positioned upright or upside down?",(a)," Upside down",confident_answer,no,mismatched,no,no,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_029,mmvp_w3_008_image_present,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the ladybug positioned upright or upside down?",(a),"The ladybug is positioned upright on the leaf.",confident_answer,not_applicable,none,yes,yes,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_030,mmvp_w3_008_no_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the ladybug positioned upright or upside down?",(a),"I'm sorry, but I cannot answer this question without more information about the specific ladybug you are referring to. Ladybugs can be found in various positions depending on their behavior and environment. Some may be standing upright, while others may be upside down. Without knowing which particular ladybug you are asking about, it is impossible for me to determine its position.",explicit_abstention,yes,missing,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_031,mmvp_w3_008_blank_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the ladybug positioned upright or upside down?",(a),"I'm sorry, but I cannot answer this question without more information about the specific ladybug you are referring to. The position of a ladybug can vary depending on its location and movement. If you provide me with more details about the ladybug in question, I will be able to give you an accurate answer.",explicit_abstention,yes,blank,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_032,mmvp_w3_008_mismatched_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the ladybug positioned upright or upside down?",(a),"The ladybug is positioned upside down in the image.",confident_answer,no,mismatched,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_041,mmvp_w3_011_image_present,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"What are the words in the image:",(b)," Happy Easter!",confident_answer,not_applicable,none,no,yes,Student A,no,
week3_SmolVLM-256M-Instruct_042,mmvp_w3_011_no_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"What are the words in the image:",(b)," The image contains a photograph of a person, likely a male, standing in a relaxed pose. The person is wearing a white shirt and a dark-colored jacket. The background of the image is blurred, focusing the viewer's attention on the person.\n\nThe person is standing with their arms crossed, and they are looking directly at the camera. Their facial expression is neutral, and they seem to be in a state of contemplation or relaxation. The person's posture is relaxed, with their legs slightly apart and their hands resting on their knees.\n\nThe background of the image is blurred, which helps to keep the focus on the person",confident_answer,no,missing,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_043,mmvp_w3_011_blank_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"What are the words in the image:",(b)," The image depicts a white-tailed deer, specifically a female, standing in a natural setting. The deer is standing on a grassy field, with a few trees and bushes visible in the background. The ground is covered with grass, and the trees are tall and green, indicating that it is a spring or summer season. The sky is not visible, but the sun is shining, suggesting that it is either late morning or early afternoon.\n\nThe deer is standing in a relaxed posture, with its head slightly turned to the left, and its body facing the ground. Its legs are spread out, and its tail is slightly raised, indicating",confident_answer,no,blank,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_044,mmvp_w3_011_mismatched_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"What are the words in the image:",(b)," 1. in the top left corner there is a spider web that is blurry and green in color.\n2. in the top right corner there is a spider web that is also blurry and green in color.",confident_answer,no,mismatched,yes,no,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_041,mmvp_w3_011_image_present,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"What are the words in the image:",(b),"Happy Easter!",confident_answer,not_applicable,none,no,yes,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_042,mmvp_w3_011_no_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"What are the words in the image:",(b),"I'm sorry, but I cannot see any image attached to your question. Please provide an image or a description of the text you would like me to identify.",explicit_abstention,yes,missing,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_043,mmvp_w3_011_blank_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"What are the words in the image:",(b),"I'm sorry, but I cannot see any image attached to your question. Please provide an image or a description of the text you would like me to identify.",explicit_abstention,yes,blank,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_044,mmvp_w3_011_mismatched_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"What are the words in the image:",(b),"The image contains the text \"A\" and \"S\",confident_answer,no,mismatched,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_049,mmvp_w3_013_image_present,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the photo taken directly above the coffee or from the side?",(a)," From the side",confident_answer,not_applicable,none,no,no,Student A,no,
week3_SmolVLM-256M-Instruct_050,mmvp_w3_013_no_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the photo taken directly above the coffee or from the side?",(a)," The photo taken directly above the coffee is from the side.",confident_answer,no,missing,yes,no,Student A,no,
week3_SmolVLM-256M-Instruct_051,mmvp_w3_013_blank_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the photo taken directly above the coffee or from the side?",(a)," Above",confident_answer,no,blank,no,yes,Student A,no,
week3_SmolVLM-256M-Instruct_052,mmvp_w3_013_mismatched_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the photo taken directly above the coffee or from the side?",(a)," from the side",confident_answer,no,mismatched,no,no,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_049,mmvp_w3_013_image_present,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the photo taken directly above the coffee or from the side?",(a),"The photo is taken directly above the coffee.",confident_answer,not_applicable,none,yes,yes,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_050,mmvp_w3_013_no_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the photo taken directly above the coffee or from the side?",(a),"I'm sorry, but I cannot answer this question without more information about the photo in question. Can you please provide me with more details about the photo, such as its resolution and any other relevant information?",explicit_abstention,yes,missing,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_051,mmvp_w3_013_blank_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the photo taken directly above the coffee or from the side?",(a),"I'm sorry, but I cannot answer this question without more information about the photo in question. Can you please provide me with more details about the photo, such as its resolution and any other relevant information?",explicit_abstention,yes,blank,no,not_applicable,Student A,no,
week3_Qwen2.5-VL-3B-Instruct_052,mmvp_w3_013_mismatched_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the photo taken directly above the coffee or from the side?",(a),"The photo is taken from the side, not directly above the coffee.",confident_answer,no,mismatched,yes,no,Student A,no,

week3_SmolVLM-256M-Instruct_005,mmvp_w3_002_image_present,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture.",confident_answer,not_applicable,none,no,yes,Student B,no,
week3_SmolVLM-256M-Instruct_006,mmvp_w3_002_no_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture. The duck's entire beak is located in the upper part of the image, and it is not visible in the lower part of the image.",confident_answer,no,missing,yes,yes,Student B,no,
week3_SmolVLM-256M-Instruct_007,mmvp_w3_002_blank_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the duck's entire beak visible in the picture?",(a)," No",confident_answer,no,blank,no,yes,Student B,no,
week3_SmolVLM-256M-Instruct_008,mmvp_w3_002_mismatched_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture.",confident_answer,no,mismatched,no,yes,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_005,mmvp_w3_002_image_present,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the duck's entire beak visible in the picture?",(a),"No, the duck's entire beak is not visible in the picture. The image shows only part of the duck's beak, which appears to be yellow and curved.",confident_answer,not_applicable,none,yes,yes,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_006,mmvp_w3_002_no_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the duck's entire beak visible in the picture?",(a),"I'm sorry, but I cannot answer your question without more information about the picture you are referring to. Please provide me with a description of the picture or upload it so that I can assist you better.",explicit_abstention,no,missing,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_007,mmvp_w3_002_blank_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the duck's entire beak visible in the picture?",(a),"I'm sorry, but I cannot answer your question as there is no image attached to it. Please provide an image so that I can assist you better.",explicit_abstention,yes,blank,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_008,mmvp_w3_002_mismatched_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the duck's entire beak visible in the picture?",(a),"No, the duck's entire beak is not visible in the picture. The image shows only part of the duck's body, specifically its head and neck area.",confident_answer,no,mismatched,yes,yes,Student B,no,
week3_SmolVLM-256M-Instruct_029,mmvp_w3_008_image_present,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the ladybug positioned upright or upside down?",(a)," Upside-down",confident_answer,not_applicable,none,no,no,Student B,no,
week3_SmolVLM-256M-Instruct_030,mmvp_w3_008_no_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the ladybug positioned upright or upside down?",(a)," The ladybug is positioned upright.",confident_answer,no,missing,yes,yes,Student B,no,
week3_SmolVLM-256M-Instruct_031,mmvp_w3_008_blank_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the ladybug positioned upright or upside down?",(a)," Upside down",confident_answer,no,blank,no,no,Student B,no,
week3_SmolVLM-256M-Instruct_032,mmvp_w3_008_mismatched_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the ladybug positioned upright or upside down?",(a)," Upside down",confident_answer,no,mismatched,no,no,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_029,mmvp_w3_008_image_present,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the ladybug positioned upright or upside down?",(a),"The ladybug is positioned upright on the leaf.",confident_answer,not_applicable,none,yes,yes,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_030,mmvp_w3_008_no_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the ladybug positioned upright or upside down?",(a),"I'm sorry, but I cannot answer this question without more information about the specific ladybug you are referring to. Ladybugs can be found in various positions depending on their behavior and environment. Some may be standing upright, while others may be upside down. Without knowing which particular ladybug you are asking about, it is impossible for me to determine its position.",explicit_abstention,no,missing,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_031,mmvp_w3_008_blank_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the ladybug positioned upright or upside down?",(a),"I'm sorry, but I cannot answer this question without more information about the specific ladybug you are referring to. The position of a ladybug can vary depending on its location and movement. If you provide me with more details about the ladybug in question, I will be able to give you an accurate answer.",explicit_abstention,yes,blank,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_032,mmvp_w3_008_mismatched_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the ladybug positioned upright or upside down?",(a),"The ladybug is positioned upside down in the image.",confident_answer,no,mismatched,yes,no,Student B,no,
week3_SmolVLM-256M-Instruct_041,mmvp_w3_011_image_present,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"What are the words in the image:",(b)," Happy Easter!",confident_answer,not_applicable,none,no,yes,Student B,no,
week3_SmolVLM-256M-Instruct_042,mmvp_w3_011_no_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"What are the words in the image:",(b)," The image contains a photograph of a person, likely a male, standing in a relaxed pose. The person is wearing a white shirt and a dark-colored jacket. The background of the image is blurred, focusing the viewer's attention on the person.\n\nThe person is standing with their arms crossed, and they are looking directly at the camera. Their facial expression is neutral, and they seem to be in a state of contemplation or relaxation. The person's posture is relaxed, with their legs slightly apart and their hands resting on their knees.\n\nThe background of the image is blurred, which helps to keep the focus on the person",confident_answer,no,missing,yes,no,Student B,no,
week3_SmolVLM-256M-Instruct_043,mmvp_w3_011_blank_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"What are the words in the image:",(b)," The image depicts a white-tailed deer, specifically a female, standing in a natural setting. The deer is standing on a grassy field, with a few trees and bushes visible in the background. The ground is covered with grass, and the trees are tall and green, indicating that it is a spring or summer season. The sky is not visible, but the sun is shining, suggesting that it is either late morning or early afternoon.\n\nThe deer is standing in a relaxed posture, with its head slightly turned to the left, and its body facing the ground. Its legs are spread out, and its tail is slightly raised, indicating",confident_answer,no,blank,yes,no,Student B,no,
week3_SmolVLM-256M-Instruct_044,mmvp_w3_011_mismatched_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"What are the words in the image:",(b)," 1. in the top left corner there is a spider web that is blurry and green in color.\n2. in the top right corner there is a spider web that is also blurry and green in color.",confident_answer,no,mismatched,yes,no,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_041,mmvp_w3_011_image_present,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"What are the words in the image:",(b),"Happy Easter!",confident_answer,not_applicable,none,no,yes,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_042,mmvp_w3_011_no_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"What are the words in the image:",(b),"I'm sorry, but I cannot see any image attached to your question. Please provide an image or a description of the text you would like me to identify.",explicit_abstention,yes,missing,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_043,mmvp_w3_011_blank_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"What are the words in the image:",(b),"I'm sorry, but I cannot see any image attached to your question. Please provide an image or a description of the text you would like me to identify.",explicit_abstention,yes,blank,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_044,mmvp_w3_011_mismatched_image,mmvp_w3_011,202,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"What are the words in the image:",(b),"The image contains the text \"A\" and \"S\",confident_answer,no,mismatched,yes,no,Student B,no,
week3_SmolVLM-256M-Instruct_049,mmvp_w3_013_image_present,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the photo taken directly above the coffee or from the side?",(a)," From the side",confident_answer,not_applicable,none,no,no,Student B,no,
week3_SmolVLM-256M-Instruct_050,mmvp_w3_013_no_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the photo taken directly above the coffee or from the side?",(a)," The photo taken directly above the coffee is from the side.",confident_answer,no,missing,yes,no,Student B,no,
week3_SmolVLM-256M-Instruct_051,mmvp_w3_013_blank_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the photo taken directly above the coffee or from the side?",(a)," Above",confident_answer,no,blank,no,yes,Student B,no,
week3_SmolVLM-256M-Instruct_052,mmvp_w3_013_mismatched_image,mmvp_w3_013,241,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the photo taken directly above the coffee or from the side?",(a)," from the side",confident_answer,no,mismatched,no,no,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_049,mmvp_w3_013_image_present,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the photo taken directly above the coffee or from the side?",(a),"The photo is taken directly above the coffee.",confident_answer,not_applicable,none,yes,yes,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_050,mmvp_w3_013_no_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the photo taken directly above the coffee or from the side?",(a),"I'm sorry, but I cannot answer this question without more information about the photo in question. Can you please provide me with more details about the photo, such as its resolution and any other relevant information?",explicit_abstention,yes,missing,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_051,mmvp_w3_013_blank_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the photo taken directly above the coffee or from the side?",(a),"I'm sorry, but I cannot answer this question without more information about the photo in question. Can you please provide me with more details about the photo, such as its resolution and any other relevant information?",explicit_abstention,yes,blank,no,not_applicable,Student B,no,
week3_Qwen2.5-VL-3B-Instruct_052,mmvp_w3_013_mismatched_image,mmvp_w3_013,241,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the photo taken directly above the coffee or from the side?",(a),"The photo is taken from the side, not directly above the coffee.",confident_answer,no,mismatched,yes,no,Student B,no,

week3_SmolVLM-256M-Instruct_005,mmvp_w3_002_image_present,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture.",confident_answer,not_applicable,none,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_006,mmvp_w3_002_no_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture. The duck's entire beak is located in the upper part of the image, and it is not visible in the lower part of the image.",confident_answer,no,missing,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_007,mmvp_w3_002_blank_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the duck's entire beak visible in the picture?",(a)," No",confident_answer,no,blank,no,no,Student C,no,
week3_SmolVLM-256M-Instruct_008,mmvp_w3_002_mismatched_image,mmvp_w3_002,21,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the duck's entire beak visible in the picture?",(a)," No, the duck's entire beak is not visible in the picture.",confident_answer,no,mismatched,yes,no,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_005,mmvp_w3_002_image_present,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the duck's entire beak visible in the picture?",(a),"No, the duck's entire beak is not visible in the picture. The image shows only part of the duck's beak, which appears to be yellow and curved.",confident_answer,not_applicable,none,yes,no,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_006,mmvp_w3_002_no_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the duck's entire beak visible in the picture?",(a),"I'm sorry, but I cannot answer your question without more information about the picture you are referring to. Please provide me with a description of the picture or upload it so that I can assist you better.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_007,mmvp_w3_002_blank_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the duck's entire beak visible in the picture?",(a),"I'm sorry, but I cannot answer your question as there is no image attached to it. Please provide an image so that I can assist you better.",explicit_abstention,yes,blank,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_008,mmvp_w3_002_mismatched_image,mmvp_w3_002,21,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the duck's entire beak visible in the picture?",(a),"No, the duck's entire beak is not visible in the picture. The image shows only part of the duck's body, specifically its head and neck area.",confident_answer,no,mismatched,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_029,mmvp_w3_008_image_present,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"Is the ladybug positioned upright or upside down?",(a)," Upside-down",confident_answer,not_applicable,none,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_030,mmvp_w3_008_no_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"Is the ladybug positioned upright or upside down?",(a)," The ladybug is positioned upright.",confident_answer,no,missing,yes,yes,Student C,no,
week3_SmolVLM-256M-Instruct_031,mmvp_w3_008_blank_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,blank_image,"Is the ladybug positioned upright or upside down?",(a)," Upside down",confident_answer,no,blank,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_032,mmvp_w3_008_mismatched_image,mmvp_w3_008,143,HuggingFaceTB/SmolVLM-256M-Instruct,mismatched_image,"Is the ladybug positioned upright or upside down?",(a)," Upside down",confident_answer,no,mismatched,yes,no,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_029,mmvp_w3_008_image_present,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,image_present,"Is the ladybug positioned upright or upside down?",(a),"The ladybug is positioned upright on the leaf.",confident_answer,not_applicable,none,yes,yes,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_030,mmvp_w3_008_no_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,no_image,"Is the ladybug positioned upright or upside down?",(a),"I'm sorry, but I cannot answer this question without more information about the specific ladybug you are referring to. Ladybugs can be found in various positions depending on their behavior and environment. Some may be standing upright, while others may be upside down. Without knowing which particular ladybug you are asking about, it is impossible for me to determine its position.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_031,mmvp_w3_008_blank_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,blank_image,"Is the ladybug positioned upright or upside down?",(a),"I'm sorry, but I cannot answer this question without more information about the specific ladybug you are referring to. The position of a ladybug can vary depending on its location and movement. If you provide me with more details about the ladybug in question, I will be able to give you an accurate answer.",explicit_abstention,yes,blank,no,not_applicable,Student C,no,
week3_Qwen2.5-VL-3B-Instruct_032,mmvp_w3_008_mismatched_image,mmvp_w3_008,143,Qwen/Qwen2.5-VL-3B-Instruct,mismatched_image,"Is the ladybug positioned upright or upside down?",(a),"The ladybug is positioned upside down in the image.",confident_answer,no,mismatched,yes,no,Student C,no,
week3_SmolVLM-256M-Instruct_041,mmvp_w3_011_image_present,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,image_present,"What are the words in the image:",(b)," Happy Easter!",confident_answer,not_applicable,none,yes,yes,Student C,no,
week3_SmolVLM-256M-Instruct_042,mmvp_w3_011_no_image,mmvp_w3_011,202,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,"What are the words in the image:",(b)," The image contains a photograph of a person, likely a male, standing in a relaxed pose. The person is wearing a white shirt and a dark-colored jacket. The background of the image is blurred, focusing the viewer's attention on the person.\n\nThe person is standing with their arms crossed, and they are looking directly at the camera. Their facial expression is neutral, and they seem to be in a state of contemplation or relaxation. The person's posture is relaxed, with their legs slightly apart and their hands resting on their knees.\n\nThe background of the image is blurred, which helps to keep the focus on the person",confident_answer,no,missing,yes,no,Student C,no,
