source_id,question,options,answer,category,l2_category,source_dataset,image_path,include_primary,exclusion_reason
688,In what situations would the scene in the picture appear?,"Options: A: Put a piece of iron into water., B: Put a piece of plastic into water., C: Put a piece of sodium into water., D: Put a piece of sodium into kerosene.",D,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar688.jpg,yes,
526,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the age gap between these two people in image? (Unit: years)","Choices: (A) 4, (B) 5, (C) 6, (D) 7",D,instance reasoning,cross-instance attribute reasoning,MathVista,data/mmstar/images/mmstar526.jpg,yes,
913,Which month is the wettest on average in Christchurch?,"Options: A: August, B: April, C: May, D: nan",C,logical reasoning,diagram reasoning,ScienceQA_TEST,data/mmstar/images/mmstar913.jpg,yes,
778,What python code is gonna generate the result as shown in the image?,"Options: A: if 5 > 2: print(""Five is greater than two!"") print(""Five is greater than two!""), B: if 5 > 2: print(""Five is greater than two!"")  if 5 > 2: print(""Five is greater than two!""), C: #This is a comment. print(""Hello, World!""), D: if 5 > 2: print(""Five is greater than two!"")",A,logical reasoning,code & sequence reasoning,MMBench,data/mmstar/images/mmstar778.jpg,yes,
756,Where is the woman holding her belly in the image?,"Options: A: With both hands, B: With her right hand, C: With her left hand, D: She's not holding her belly",B,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar756.jpg,yes,
939,What time of day is it at stage 1?,"Options: A: midnight, B: noon, C: sunset, D: sunrise",B,logical reasoning,diagram reasoning,AI2D_TEST,data/mmstar/images/mmstar939.jpg,yes,
820,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the difference between the highest and the lowest value of blue bar?","Choices: (A) 64, (B) 56, (C) 66, (D) 57",A,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar820.jpg,yes,
812,Is there a teddy bear in the image?,"Options: A: Can't tell, B: No, C: Yes, D: Maybe",B,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar812.jpg,yes,
807,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many people like the most preferred object in the whole chart?","Choices: (A) 4, (B) 5, (C) 6, (D) 9",D,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar807.jpg,yes,
785,Which Python code can generate the content of the image?,"Options: A: from collections import Counter result = Counter('Canada') print(result), B: from collections import Counter result = Counter('strawberry') print(result), C: from collections import Counter result = Counter('banana') print(result), D: from collections import Counter result = Counter('apple') print(result)",C,logical reasoning,code & sequence reasoning,MMBench,data/mmstar/images/mmstar785.jpg,yes,
938,Is the man wearing a hat?,"Options: A: There is a design on his head, but no hat, B: No, C: Can't be determined, D: Yes",C,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar938.jpg,yes,
776,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the difference between the highest and the lowest dark blue bar?","Choices: (A) 54, (B) 52, (C) 56, (D) 57",A,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar776.jpg,yes,
1163,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Find x. Assume that any segment that appears to be tangent is tangent.","Choices: (A) 30, (B) 90, (C) 10, (D) 120",C,math,geometry,MathVista,data/mmstar/images/mmstar1163.jpg,yes,
1028,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end. Question: What number is shown?","Choices: (A) 40, (B) 38, (C) 42, (D) 34",B,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1028.jpg,yes,
1006,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Move the ruler to measure the length of the line to the nearest centimeter. The line is about (_) centimeters long.","Choices: (A) 4, (B) 5, (C) 6, (D) 7",D,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1006.jpg,yes,
1189,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Move the ruler to measure the length of the slug to the nearest inch. The slug is about (_) inches long.","Choices: (A) 3, (B) 1, (C) 5, (D) 2",A,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1189.jpg,yes,
1070,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: In the figure above, l || m. Which of the following must equal 180?","Choices: (A) k + n + r, (B) k + p + s, (C) n + p + s, (D) n + p + t",B,math,geometry,MathVista,data/mmstar/images/mmstar1070.jpg,yes,
1062,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the number of blue matte school bus greater than the number of large cyan metallic jets?","Choices: (A) Yes, (B) No, (C) nan, (D) nan",A,math,statistical reasoning,MathVista,data/mmstar/images/mmstar1062.jpg,yes,
1057,"Kimpel Products makes pizza ovens for commercial use. James Kimpel, CEO, is contemplating producing smaller ovens for use in high school and college kitchens. The activities necessary to build an experimental model and related data are given in the following table: <image 1> What is the project completion date?","Options: A: Slacks are: 0, 2, 11, 0, 2, 11, 0, B: Slacks are: 0, 3, 10, 0, 3, 10, 0, C: Slacks are: 0, 4, 9, 0, 4, 9, 0, D: Slacks are: 0, 5, 11, 0, 5, 11, 0",A,math,statistical reasoning,MMMU,data/mmstar/images/mmstar1057.jpg,yes,
1035,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: As shown in the figure, in Rt△ABC, ∠BAC = 90.0, AD ⊥ BC at D, DE ⊥ AB at E, AD = 3.0, DE = 2.0, then the length of CD is ()","Choices: (A) \frac{21}{2}, (B) \frac{√{15}}{2}, (C) \frac{9}{2}, (D) \frac{3√{5}}{2}",D,math,geometry,MathVista,data/mmstar/images/mmstar1035.jpg,yes,
1188,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the minimum age group shown in the ‘plots’?","Choices: (A) 11-15, (B) 21-25, (C) 0-5, (D) 16-20",C,math,statistical reasoning,MathVista,data/mmstar/images/mmstar1188.jpg,yes,
1026,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the radius of this circle?","Choices: (A) 2.5, (B) 10, (C) 2, (D) 5",D,math,geometry,MathVista,data/mmstar/images/mmstar1026.jpg,yes,
1413,"Which part is a fibrous, membranous, or fatty sheath that encloses an organ or part, such as the sac surrounding the kidney or the fibrous tissues that surround a joint?","Options: A: B, B: H, C: G, D: J",D,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1413.jpg,yes,
1278,Assume for the common-emitter circuit shown in  <image 1> we have the  following numerical values for a germanium transistor. $V_{BB}$ = + 15V   $V_{CC}$ = + 15V   $V_{BE}$ = 0.3V  $R_C$ = 4k$\Omega$        $R_E$ = 600$\Omega$      $\beta $ = 60. What value of RB is required to set VCE to 8 V?,"Options: A: 551, B: Other Answers, C: nan, D: nan",A,science & technology,electronics & energy & mechanical eng.,MMMU,data/mmstar/images/mmstar1278.jpg,yes,
1256,What letter represents oxygen?,"Options: A: G, B: C, C: F, D: A",B,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1256.jpg,yes,
1439,Which item in the diagram represents sedimentary rocks?,"Options: A: None of the above, B: A, C: B, D: C",B,science & technology,geography & earth science & agriculture,AI2D_TEST,data/mmstar/images/mmstar1439.jpg,yes,
1320,What term is used to describe A in the diagram?,"Options: A: Egg, B: Adult, C: Pupa, D: Larva",C,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1320.jpg,yes,
1312,Where is the testa?,"Options: A: A, B: C, C: D, D: B",C,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1312.jpg,yes,
1307,Which region in the diagram represents the crust?,"Options: A: a, B: d, C: c, D: a & d",A,science & technology,geography & earth science & agriculture,AI2D_TEST,data/mmstar/images/mmstar1307.jpg,yes,
1285,What change could occur to increase the size of the large fish population?,"Options: A: More sea otters, B: More sea urchins, C: Fewer small fish, D: More crabs",D,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1285.jpg,yes,
1438,"Evaporation, the process of a liquid converting to the gaseous state, occurs at what stage?","Options: A: C, B: D, C: A, D: B",A,science & technology,geography & earth science & agriculture,AI2D_TEST,data/mmstar/images/mmstar1438.jpg,yes,
1276,Which area on the map shows China?,"Options: A: B, B: C, C: D, D: A",A,science & technology,geography & earth science & agriculture,MMBench,data/mmstar/images/mmstar1276.jpg,yes,
14,What is the main subject of the image?,"Options: A: Sky, B: Water, C: Sun, D: Clouds",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar14.jpg,yes,
55,What is the main focus of the image?,"Options: A: A woman and two girls standing on a red carpet with an umbrella., B: A person and their family at a premiere standing under an umbrella in the rain., C: Two girls holding an umbrella on a red carpet., D: People standing on a red carpet and an actress holding her daughter under an umbrella.",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar55.jpg,yes,
59,What is the main color of the image?,"Options: A: Red, B: Green, C: Black, D: White",D,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar59.jpg,yes,
67,What is the dominant color scheme in this image?,"Options: A: White and blue, B: Blue and green, C: Brown and yellow, D: Pink and orange",B,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar67.jpg,yes,
72,What kind of room is depicted in the image?,"Options: A: A living room, B: A kitchen, C: A bedroom, D: A bathroom",A,coarse perception,image scene and topic,SEEDBench_IMG,data/mmstar/images/mmstar72.jpg,yes,
95,what style is depicted in this image?,"Options: A: impressionism, B: post-Impressionism, C: modernism, D: dadaism",C,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar95.jpg,yes,
100,Which is the main topic of the image,"Options: A: A woman surfing, B: A man skiting, C: A man surfing, D: A woman skiting",C,coarse perception,image scene and topic,MMBench,data/mmstar/images/mmstar100.jpg,yes,
149,Which image shows the highest contrast?,"Options: A: upper left, B: upper right, C: down left, D: down right",B,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar149.jpg,yes,
169,Which image is more brightful?,"Options: A: The first image, B: The second image, C: nan, D: nan",B,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar169.jpg,yes,
186,what style is depicted in this image?,"Options: A: impressionism, B: post-Impressionism, C: modernism, D: dadaism",A,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar186.jpg,yes,
199,which image is more colorful?,"Options: A: The first image, B: The second image, C: nan, D: nan",B,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar199.jpg,yes,
201,Which image is more brightful?,"Options: A: The first image, B: The second image, C: nan, D: nan",A,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar201.jpg,yes,
208,What type of environment is depicted in the picture?,"Options: A: home, B: shopping mall, C: street, D: forest",C,coarse perception,image scene and topic,MMBench,data/mmstar/images/mmstar208.jpg,yes,
219,Which category does this image belong to?,"Options: A: oil painting, B: sketch, C: digital art, D: photo",D,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar219.jpg,yes,
238,Which category does this image belong to?,"Options: A: remote sense image, B: photo, C: painting, D: map",D,coarse perception,image style & quality,MMBench,data/mmstar/images/mmstar238.jpg,yes,
266,How many people are playing guitar in the image?,"Options: A: One, B: Two, C: Three, D: Four",C,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar266.jpg,yes,
299,How would you describe the color of the sand in the image?,"Options: A: Dark brown, B: White, C: Light gray, D: Golden",A,fine-grained perception,recognition,SEEDBench_IMG,data/mmstar/images/mmstar299.jpg,yes,
335,How many clear glasses are on the table in the image?,"Options: A: Three, B: Six, C: Five, D: Four",D,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar335.jpg,yes,
343,Where is the man wearing a black backpack?,"Options: A: In the foreground, B: In the background, C: In the middle of the image, D: Cannot be determined",C,fine-grained perception,localization,SEEDBench_IMG,data/mmstar/images/mmstar343.jpg,yes,
410,What is the relative position of the woman's hand to her body in the image?,"Options: A: Beside her head, B: At her side, C: Raised above her head, D: Resting on her hip",A,fine-grained perception,localization,SEEDBench_IMG,data/mmstar/images/mmstar410.jpg,yes,
425,How many older men are playing guitars in the image?,"Options: A: 1, B: 4, C: 3, D: 2",C,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar425.jpg,yes,
460,How many types of fruits are in the bowl?,"Options: A: 4, B: 2, C: 3, D: 5",A,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar460.jpg,yes,
467,How many windows are in the room?,"Options: A: 1, B: 2, C: 4, D: 3",C,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar467.jpg,yes,
471,How many drawers can be seen in the image?,"Options: A: One, B: Three, C: Two, D: Four",D,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar471.jpg,yes,
477,How many people are on stage in the image?,"Options: A: One, B: Four, C: Three, D: Two",B,fine-grained perception,object counting,SEEDBench_IMG,data/mmstar/images/mmstar477.jpg,yes,
496,What color is the hair of the woman in the image?,"Options: A: Black, B: Brown, C: Red, D: Blonde",A,fine-grained perception,recognition,SEEDBench_IMG,data/mmstar/images/mmstar496.jpg,yes,
522,Which image is the brightest one?,"Options: A: upper left, B: upper right, C: down left, D: down right",B,instance reasoning,cross-instance attribute reasoning,MMBench,data/mmstar/images/mmstar522.jpg,yes,
567,Which solution has a higher concentration of pink particles?,"Options: A: neither; their concentrations are the same, B: Solution A, C: Solution B, D: nan",C,instance reasoning,cross-instance relation reasoning,MMBench,data/mmstar/images/mmstar567.jpg,yes,
590,Are the two animals in the picture the same color?,"Options: A: same, B: Not the same, C: Can't judge, D: nan",B,instance reasoning,cross-instance attribute reasoning,MMBench,data/mmstar/images/mmstar590.jpg,yes,
596,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: In the diagram of the food web shown what will most directly be affected by the loss of the trees?","Choices: (A) horses (B) cats (C) nothing (D) bears",A,instance reasoning,cross-instance relation reasoning,MathVista,data/mmstar/images/mmstar596.jpg,yes,
627,Which solution has a higher concentration of yellow particles?,"Options: A: Solution A, B: neither; their concentrations are the same, C: Solution B, D: nan",A,instance reasoning,cross-instance relation reasoning,ScienceQA_TEST,data/mmstar/images/mmstar627.jpg,yes,
719,What's the profession of the people in this picture?,"Options: A: astronaut, B: chemist, C: musician, D: pianist",A,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar719.jpg,yes,
726,What's the profession of the people in this picture?,"Options: A: driver, B: teacher, C: electrician, D: tailor",C,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar726.jpg,yes,
734,Which option describe the object relationship in the image correctly?,"Options: A: The bed is beneath the suitcase., B: The car is behind the suitcase., C: The suitcase is beneath the bed., D: The cat is on the microwave.",A,instance reasoning,cross-instance relation reasoning,MMBench,data/mmstar/images/mmstar734.jpg,yes,
766,Where is the young man in the black robe seated in the painting?,"Options: A: On a bench, B: None of the above, C: In front of a sculpture, D: On the ground",B,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar766.jpg,yes,
771,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many years have value less than 10%?","Choices: (A) 0 (B) 1 (C) 2 (D) 5",D,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar771.jpg,yes,
810,What is the main activity of the people on the beach?,"Options: A: Sunbathing, B: Having a picnic, C: Playing volleyball, D: Swimming",A,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar810.jpg,yes,
814,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is Sky Blue the minimum?","Choices: (A) yes (B) no (C) nan (D) nan",A,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar814.jpg,yes,
896,What season is depicted in the image?,"Options: A: Summer, B: Spring, C: Autumn, D: Winter",A,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar896.jpg,yes,
901,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the function (f: R to R) surjective?","Choices: (A) Yes (B) No (C) nan (D) nan",A,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar901.jpg,yes,
902,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all small gray spheres. Subtract all cylinders. How many objects are left?","Choices: (A) 0 (B) 1 (C) 2 (D) 3",C,logical reasoning,common reasoning,MathVista,data/mmstar/images/mmstar902.jpg,yes,
959,What would be the ideal complexity of the curve which can beused for separating the two classes shown in the image below?<image 1>,"Options: A: Linear, B: Quadratic, C: Cubic, D: insufficient data to draw conclusion",A,logical reasoning,diagram reasoning,MMMU,data/mmstar/images/mmstar959.jpg,yes,
980,"If F is sunlight, what position does H represent?","Options: A: Waning Gibbous, B: Waxing Gibbous, C: Waning Crescent, D: Waxing Crescent",A,logical reasoning,diagram reasoning,AI2D_TEST,data/mmstar/images/mmstar980.jpg,yes,
1081,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: As shown in the figure, AB is the diameter of ⊙O, point D is on the extended line of AB, passing point D is the tangent of ⊙O, and the tangent point is C, if ∠A = 25.0, then ∠D = ()","Choices: (A) 25° (B) 40° (C) 50° (D) 65°",B,math,geometry,MathVista,data/mmstar/images/mmstar1081.jpg,yes,
1145,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: In $\odot S$, $m \widehat {PQR}=98$, Find $m \widehat {PQ}$.","Choices: (A) 45 (B) 49 (C) 90 (D) 98",B,math,geometry,MathVista,data/mmstar/images/mmstar1145.jpg,yes,
1164,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Find y.","Choices: (A) 16 \sqrt { 2 } (B) 16 \sqrt { 3 } (C) 32 (D) 16 \sqrt { 5 }",D,math,geometry,MathVista,data/mmstar/images/mmstar1164.jpg,yes,
1178,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Are there more tiny motorbikes in front of the small cyan tandem bike than big cyan metal double buss?","Choices: (A) Yes (B) No (C) nan (D) nan",A,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1178.jpg,yes,
1199,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many people prefer the most preferred object?","Choices: (A) 7 (B) 5 (C) 9 (D) 8",A,math,statistical reasoning,MathVista,data/mmstar/images/mmstar1199.jpg,yes,
1232,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the sum of all the values in the ruling group?","Choices: (A) 10 (B) 12 (C) 11 (D) 13",B,math,geometry,MathVista,data/mmstar/images/mmstar1232.jpg,yes,
1257,Which of the following is the enantiomer of the compound shown below ? <image 1>,"Options: A: <image 2>, B: <image 3>, C: <image 4>, D: <image 5>",A,science & technology,biology & chemistry & physics,MMMU,data/mmstar/images/mmstar1257.jpg,yes,
1260,What is represented by organ A?,"Options: A: centrioles, B: vesicles, C: golgi body, D: mitochondrion",B,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1260.jpg,yes,
1286,A food web is shown below. Which of the following organisms compete for the deer as a food source?,"Options: A: hawk and snake, B: snake and lion, C: Mountain lion, D: none (A) hawk and snake (B) none (C) Mountain lion",C,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1286.jpg,yes,
1290,What is the expected ratio of offspring with white spots to offspring with solid coloring? Choose the most likely ratio.,"Options: A: 4:0, B: 3:1, C: 1:3, D: 0:4",D,science & technology,biology & chemistry & physics,ScienceQA_TEST,data/mmstar/images/mmstar1290.jpg,yes,
1323,"<image 1>A light ray enters a block of plastic and travels along the path shown.By considering the behavior of the ray at point P, determine the speed of light in the plastic.(10^8m/s)","Options: A: 0.44, B: 0.88, C: 1.13, D: 2.26",D,science & technology,biology & chemistry & physics,MMMU,data/mmstar/images/mmstar1323.jpg,yes,
1344,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,"Options: A: The magnitude of the magnetic force is smaller in Pair 2., B: The magnitude of the magnetic force is smaller in Pair 1., C: The magnitude of the magnetic force is the same in both pairs., D: nan",B,science & technology,biology & chemistry & physics,ScienceQA_TEST,data/mmstar/images/mmstar1344.jpg,yes,
1366,"Find the minimum spanning tree of the graph G(V, U) of figure 1. Notice that it is an undirected graph. <image 1>","Options: A: Graph G1 with vertices v1 to v8 and arcs including (v1, v3), (v2, v3) and so on., B: Graph G2 with vertices v1 to v8 and arcs including (v2, v5) and (v4, v8)., C: Graph G1 with vertices v1 to v8 and arcs excluding (v2, v5) and (v4, v8)., D: Graph G2 with vertices v1 to v8 and no arc connecting A1 and A3.",B,science & technology,electronics & energy & mechanical eng.,MMMU,data/mmstar/images/mmstar1366.jpg,yes,
1387,What is label H pointing to?,"Options: A: Golgi body, B: Endoplasmic reticulum, C: Nucleus, D: Mitochondrion",A,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1387.jpg,yes,
1445,Will these magnets attract or repel each other?,"Options: A: repel, B: attract, C: nan, D: nan",B,science & technology,electronics & energy & mechanical eng.,ScienceQA_TEST,data/mmstar/images/mmstar1445.jpg,yes,
1489,<image 1>Hydrophobic region of the cell membrane?,"Options: A: E, B: B, C: C, D: A",A,science & technology,biology & chemistry & physics,MMMU,data/mmstar/images/mmstar1489.jpg,yes,
1496,Which label applies to stomach?,"Options: A: B, B: A, C: D, D: C",C,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1496.jpg,yes,
