source_id,question,options,answer,category,l2_category,source_dataset,image_path,include_primary,exclusion_reason
688,"In what situations would the scene in the picture appear?","Options: A: Put a piece of iron into water., B: Put a piece of plastic into water., C: Put a piece of sodium into water., D: Put a piece of sodium into kerosene.",D,instance reasoning,single-instance reasoning,MMBench,data/mmstar/images/mmstar688.jpg,yes,
526,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the age gap between these two people in image? (Unit: years)","Choices: (A) 4, (B) 5, (C) 6, (D) 7",D,instance reasoning,cross-instance attribute reasoning,MathVista,data/mmstar/images/mmstar526.jpg,yes,
913,"Which month is the wettest on average in Christchurch?","Options: A: August, B: April, C: May, D: nan",C,logical reasoning,diagram reasoning,ScienceQA_TEST,data/mmstar/images/mmstar913.jpg,yes,
778,"What python code is gonna generate the result as shown in the image?","Options: A: if 5 > 2: print("Five is greater than two!") print("Five is greater than two!"), B: if 5 > 2: print("Five is greater than two!")  if 5 > 2: print("Five is greater than two!"), C: #This is a comment. print("Hello, World!"), D: if 5 > 2: print("Five is greater than two!")",A,logical reasoning,code & sequence reasoning,MMBench,data/mmstar/images/mmstar778.jpg,yes,
756,"Where is the woman holding her belly in the image?","Options: A: With both hands, B: With her right hand, C: With her left hand, D: She's not holding her belly",B,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar756.jpg,yes,
939,"What time of day is it at stage 1?","Options: A: midnight, B: noon, C: sunset, D: sunrise",B,logical reasoning,diagram reasoning,AI2D_TEST,data/mmstar/images/mmstar939.jpg,yes,
820,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the difference between the highest and the lowest value of blue bar?","Choices: (A) 64, (B) 56, (C) 66, (D) 57",A,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar820.jpg,yes,
812,"Is there a teddy bear in the image?","Options: A: Can't tell, B: No, C: Yes, D: Maybe",B,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar812.jpg,yes,
807,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many people like the most preferred object in the whole chart?","Choices: (A) 4, (B) 5, (C) 6, (D) 9",D,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar807.jpg,yes,
785,"Which Python code can generate the content of the image?","Options: A: from collections import Counter result = Counter('Canada') print(result), B: from collections import Counter result = Counter('strawberry') print(result), C: from collections import Counter result = Counter('banana') print(result), D: from collections import Counter result = Counter('apple') print(result)",C,logical reasoning,code & sequence reasoning,MMBench,data/mmstar/images/mmstar785.jpg,yes,
938,"Is the man wearing a hat?","Options: A: There is a design on his head, but no hat, B: No, C: Can't be determined, D: Yes",C,logical reasoning,common reasoning,SEEDBench_IMG,data/mmstar/images/mmstar938.jpg,yes,
776,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the difference between the highest and the lowest dark blue bar?","Choices: (A) 54, (B) 52, (C) 56, (D) 57",A,logical reasoning,diagram reasoning,MathVista,data/mmstar/images/mmstar776.jpg,yes,
1163,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Find x. Assume that any segment that appears to be tangent is tangent.","Choices: (A) 30, (B) 90, (C) 10, (D) 120",C,math,geometry,MathVista,data/mmstar/images/mmstar1163.jpg,yes,
1028,"Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end. Question: What number is shown?","Choices: (A) 40, (B) 38, (C) 42, (D) 34",B,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1028.jpg,yes,
1006,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Move the ruler to measure the length of the line to the nearest centimeter. The line is about (_) centimeters long.","Choices: (A) 4, (B) 5, (C) 6, (D) 7",D,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1006.jpg,yes,
1189,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Move the ruler to measure the length of the slug to the nearest inch. The slug is about (_) inches long.","Choices: (A) 3, (B) 1, (C) 5, (D) 2",A,math,numeric commonsense and calculation,MathVista,data/mmstar/images/mmstar1189.jpg,yes,
1070,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: In the figure above, l || m. Which of the following must equal 180?","Choices: (A) k + n + r, (B) k + p + s, (C) n + p + s, (D) n + p + t",B,math,geometry,MathVista,data/mmstar/images/mmstar1070.jpg,yes,
1062,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the number of blue matte school bus greater than the number of large cyan metallic jets?","Choices: (A) Yes, (B) No, (C) nan, (D) nan",A,math,statistical reasoning,MathVista,data/mmstar/images/mmstar1062.jpg,yes,
1057,"Kimpel Products makes pizza ovens for commercial use. James Kimpel, CEO, is contemplating producing smaller ovens for use in high school and college kitchens. The activities necessary to build an experimental model and related data are given in the following table: <image 1> What is the project completion date?","Options: A: Slacks are: 0, 2, 11, 0, 2, 11, 0, B: Slacks are: 0, 3, 10, 0, 3, 10, 0, C: Slacks are: 0, 4, 9, 0, 4, 9, 0, D: Slacks are: 0, 5, 11, 0, 5, 11, 0",A,math,statistical reasoning,MMMU,data/mmstar/images/mmstar1057.jpg,yes,
1035,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: As shown in the figure, in Rt△ABC, ∠BAC = 90.0, AD ⊥ BC at D, DE ⊥ AB at E, AD = 3.0, DE = 2.0, then the length of CD is ()","Choices: (A) \frac{21}{2}, (B) \frac{√{15}}{2}, (C) \frac{9}{2}, (D) \frac{3√{5}}{2}",D,math,geometry,MathVista,data/mmstar/images/mmstar1035.jpg,yes,
1188,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the minimum age group shown in the ‘plots’?","Choices: (A) 11-15, (B) 21-25, (C) 0-5, (D) 16-20",C,math,statistical reasoning,MathVista,data/mmstar/images/mmstar1188.jpg,yes,
1026,"Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the radius of this circle?","Choices: (A) 2.5, (B) 10, (C) 2, (D) 5",D,math,geometry,MathVista,data/mmstar/images/mmstar1026.jpg,yes,
1413,"Which part is a fibrous, membranous, or fatty sheath that encloses an organ or part, such as the sac surrounding the kidney or the fibrous tissues that surround a joint?","Options: A: B, B: H, C: G, D: J",D,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1413.jpg,yes,
1278,"Assume for the common-emitter circuit shown in  <image 1> we have the  following numerical values for a germanium transistor. $V_{BB}$ = + 15V   $V_{CC}$ = + 15V   $V_{BE}$ = 0.3V  $R_C$ = 4k$\Omega$        $R_E$ = 600$\Omega$      $\beta $ = 60. What value of RB is required to set VCE to 8 V?","Options: A: 551, B: Other Answers, C: nan, D: nan",A,science & technology,electronics & energy & mechanical eng.,MMMU,data/mmstar/images/mmstar1278.jpg,yes,
1256,"What letter represents oxygen?","Options: A: G, B: C, C: F, D: A",B,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1256.jpg,yes,
1439,"Which item in the diagram represents sedimentary rocks?","Options: A: None of the above, B: A, C: B, D: C",B,science & technology,geography & earth science & agriculture,AI2D_TEST,data/mmstar/images/mmstar1439.jpg,yes,
1320,"What term is used to describe A in the diagram?","Options: A: Egg, B: Adult, C: Pupa, D: Larva",C,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1320.jpg,yes,
1312,"Where is the testa?","Options: A: A, B: C, C: D, D: B",C,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1312.jpg,yes,
1307,"Which region in the diagram represents the crust?","Options: A: a, B: d, C: c, D: a & d",A,science & technology,geography & earth science & agriculture,AI2D_TEST,data/mmstar/images/mmstar1307.jpg,yes,
1285,"What change could occur to increase the size of the large fish population?","Options: A: More sea otters, B: More sea urchins, C: Fewer small fish, D: More crabs",D,science & technology,biology & chemistry & physics,AI2D_TEST,data/mmstar/images/mmstar1285.jpg,yes,
1438,"Evaporation, the process of a liquid converting to the gaseous state, occurs at what stage?","Options: A: C, B: D, C: A, D: B",A,science & technology,geography & earth science & agriculture,AI2D_TEST,data/mmstar/images/mmstar1438.jpg,yes,
1276,"Which area on the map shows China?","Options: A: B, B: C, C: D, D: A",A,science & technology,geography & earth science & agriculture,MMBench,data/mmstar/images/mmstar1276.jpg,yes,
